Division,Sex,Min Age,Max Age,Min Weight,Max Weight,Max Grade,Min Grade,Match Time,Golden Score Time,Minimum Break Time
Mons Girls U 40kg,FEMALE,8,9,35.1,40,,YELLOW,180,0,480
Mons Girls U 45kg,FEMALE,8,9,40.1,45,,YELLOW,180,0,480
Novice Junior Boys + 50kg,MALE,9,11,50.1,,YELLOW,YELLOW,180,0,360
Novice Junior Boys U 27kg,MALE,9,11,,27,YELLOW,YELLOW,180,0,360
Novice Junior Boys U 30kg,MALE,9,11,27.1,30,YELLOW,YELLOW,180,0,360
Novice Junior Boys U 34kg,MALE,9,11,30.1,34,YELLOW,YELLOW,180,0,360
Novice Junior Boys U 38kg,MALE,9,11,34.1,38,YELLOW,YELLOW,180,0,360
Novice Junior Boys U 42kg,MALE,9,11,38.1,42,YELLOW,YELLOW,180,0,360
Novice Junior Boys U 46kg,MALE,9,11,42.1,46,YELLOW,YELLOW,180,0,360
Novice Junior Boys U 50kg,MALE,9,11,46.1,50,YELLOW,YELLOW,180,0,360
Novice Junior Girls +52kg,FEMALE,9,11,52.1,,YELLOW,YELLOW,180,0,360
Novice Junior Girls U 29kg,FEMALE,9,11,,29,YELLOW,YELLOW,180,0,360
Novice Junior Girls U 32kg,FEMALE,9,11,29.1,32,YELLOW,YELLOW,180,0,360
Novice Junior Girls U 36kg,FEMALE,9,11,32.1,36,YELLOW,YELLOW,180,0,360
Novice Junior Girls U 40kg,FEMALE,9,11,36.1,40,YELLOW,YELLOW,180,0,360
Novice Junior Girls U 44kg,FEMALE,9,11,40.1,44,YELLOW,YELLOW,180,0,360
Novice Junior Girls U 48kg,FEMALE,9,11,44.1,48,YELLOW,YELLOW,180,0,360
Novice Junior Girls U 52kg,FEMALE,9,11,48.1,52,YELLOW,YELLOW,180,0,360
Novice Men +100kg,MALE,15,,100.1,,YELLOW,YELLOW,240,0,480
Novice Men U 60kg,MALE,15,,,60,YELLOW,YELLOW,240,0,480
Novice Men U 66kg,MALE,15,,60.1,66,YELLOW,YELLOW,240,0,480
